POSTCODE,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
0800,7GDAR,Greater Darwin,1,Good,Good,0
0810,7GDAR,Greater Darwin,1,Good,Good,0
0812,7GDAR,Greater Darwin,1,Good,Good,0
0820,7GDAR,Greater Darwin,1,Good,Good,0
0822,7GDAR,Greater Darwin,0.1555204,Good,Good,0
0822,7RNTE,Rest of NT,0.8442011,Good,Good,0
0828,7GDAR,Greater Darwin,1,Good,Good,0
0829,7GDAR,Greater Darwin,1,Good,Good,0
0830,7GDAR,Greater Darwin,1,Good,Good,0
0832,7GDAR,Greater Darwin,1,Good,Good,0
0834,7GDAR,Greater Darwin,1,Good,Good,0
0835,7GDAR,Greater Darwin,1,Good,Good,0
0836,7GDAR,Greater Darwin,1,Good,Good,0
0837,7GDAR,Greater Darwin,1,Good,Good,0
0838,7GDAR,Greater Darwin,1,Good,Good,0
0839,7GDAR,Greater Darwin,1,Good,Good,0
0840,7RNTE,Rest of NT,1,Good,Good,0
0841,7GDAR,Greater Darwin,1,Good,Good,0
0845,7RNTE,Rest of NT,1,Good,Good,0
0846,7RNTE,Rest of NT,1,Good,Good,0
0847,7RNTE,Rest of NT,1,Good,Good,0
0850,7RNTE,Rest of NT,1,Good,Good,0
0852,7RNTE,Rest of NT,0.9999989,Good,Good,0
0853,7RNTE,Rest of NT,1,Good,Good,0
0854,7RNTE,Rest of NT,1,Good,Good,0
0860,7RNTE,Rest of NT,1,Good,Good,0
0862,7RNTE,Rest of NT,1,Good,Good,0
0870,7RNTE,Rest of NT,1,Good,Good,0
0872,4RSAU,Rest of SA,0.1598963,Good,Good,0
0872,5RWAU,Rest of WA,0.0758188,Good,Good,0
0872,7RNTE,Rest of NT,0.7642849,Good,Good,0
0873,7RNTE,Rest of NT,1,Good,Good,0
0874,7RNTE,Rest of NT,1,Good,Good,0
0875,7RNTE,Rest of NT,1,Good,Good,0
0880,7RNTE,Rest of NT,1,Good,Good,0
0885,7RNTE,Rest of NT,1,Good,Good,0
0886,7RNTE,Rest of NT,1,Good,Good,0
2000,1GSYD,Greater Sydney,1,Good,Good,0
2007,1GSYD,Greater Sydney,1,Good,Good,0
2008,1GSYD,Greater Sydney,1,Good,Good,0
2009,1GSYD,Greater Sydney,1,Good,Good,0
2010,1GSYD,Greater Sydney,1,Good,Good,0
